"filename", "language", "TypeScript React", "SCSS", "TypeScript", "JSON with Comments", "Markdown", "JSON", "XML", "CSS", "JavaScript", "comment", "blank", "total"
"/home/lin/OdinProject/course-management-system/package-lock.json", "JSON", 0, 0, 0, 0, 0, 9214, 0, 0, 0, 0, 1, 9215
"/home/lin/OdinProject/course-management-system/package.json", "JSON", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 1, 44
"/home/lin/OdinProject/course-management-system/pages/_app.tsx", "TypeScript React", 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 86
"/home/lin/OdinProject/course-management-system/pages/api/hello.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 3, 14
"/home/lin/OdinProject/course-management-system/pages/dashboard/index.tsx", "TypeScript React", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/lin/OdinProject/course-management-system/pages/dashboard/manager/courses/[id].tsx", "TypeScript React", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 69
"/home/lin/OdinProject/course-management-system/pages/dashboard/manager/courses/add-course/index.tsx", "TypeScript React", 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 90
"/home/lin/OdinProject/course-management-system/pages/dashboard/manager/courses/detail.module.scss", "SCSS", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21
"/home/lin/OdinProject/course-management-system/pages/dashboard/manager/courses/edit-course/index.tsx", "TypeScript React", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 84
"/home/lin/OdinProject/course-management-system/pages/dashboard/manager/courses/index.tsx", "TypeScript React", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"/home/lin/OdinProject/course-management-system/pages/dashboard/manager/index.tsx", "TypeScript React", 211, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 225
"/home/lin/OdinProject/course-management-system/pages/dashboard/manager/message/index.tsx", "TypeScript React", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 46
"/home/lin/OdinProject/course-management-system/pages/dashboard/manager/students/[id].tsx", "TypeScript React", 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 152
"/home/lin/OdinProject/course-management-system/pages/dashboard/manager/students/index.tsx", "TypeScript React", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 82
"/home/lin/OdinProject/course-management-system/pages/dashboard/manager/teachers/[id].tsx", "TypeScript React", 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 111
"/home/lin/OdinProject/course-management-system/pages/dashboard/manager/teachers/index.tsx", "TypeScript React", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 82
"/home/lin/OdinProject/course-management-system/pages/dashboard/student/courses/[id].tsx", "TypeScript React", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
